n	pval	log10.pval
3	0.00384507146201813	-2.41509558427042
4	0.0953600824488478	-1.0206333821103
5	0.00118449799774962	-2.92646566906281
6	0.0161722370731834	-1.7912299008518
7	0.00666866342801116	-2.17596120116676
8	7.7022623201606e-05	-4.1133816944567
9	1.92595372438219e-05	-4.71535415204373
10	5.14670673341586e-05	-4.28847057775485
11	6.97604665869724e-05	-4.15639062332392
12	9.77557006063554e-06	-5.00985790738789
13	1.82377374921217e-07	-6.73902903967168
14	1.03011828849792e-05	-4.9871129023897
15	2.28414788156272e-07	-6.64127578218293
16	1.33410538099537e-07	-6.87480986413971
17	3.62843737401243e-09	-8.44028036833979
18	3.76259997691895e-06	-5.42451195150511
19	2.69605126613112e-11	-10.5692718538332
20	1.61275174559275e-10	-9.7924324793667
21	7.91383315590374e-10	-9.10161311002579
22	6.25538323161676e-14	-13.2037460784121
23	8.57527720838962e-10	-9.06675183185335
24	2.83413529371587e-08	-7.54757942158617
25	4.77819295558085e-09	-8.32073631631658
26	6.29773082816004e-11	-10.2008159055196
27	2.33602804989966e-10	-9.63152194672937
28	4.40475649118598e-14	-13.3560780957553
29	1.67284710827359e-11	-10.7765437500522
30	1.52217682561198e-12	-11.8175348942626
31	9.59982708351817e-13	-12.0177365896011
32	2.64102513914117e-13	-12.578227464852
33	1.62430009347194e-16	-15.789333730699
34	7.45758708663325e-16	-15.127401666424
35	8.68546996740281e-15	-14.0612066770755
36	2.56271532418684e-14	-13.5912996341596
37	4.70009650634322e-13	-12.3278932246724
38	1.90476079845548e-19	-18.720159555649
39	1.68791024208899e-13	-12.7726506515503
40	4.72571440131653e-15	-14.3255325285099
41	2.33629378953065e-15	-14.6314725454854
42	3.19891642430093e-19	-18.4949971062551
43	7.18849318743828e-18	-17.1433621345075
44	9.60562644756646e-18	-17.0174743066118
45	1.16782038774638e-17	-16.9326239471285
46	3.87240126449751e-19	-18.4120196467335
47	3.09364104946939e-15	-14.5095300782508
48	1.04718471508609e-18	-17.9799767054587
49	9.68276137021708e-23	-22.0140007711184
50	6.08485668238819e-16	-15.2157496463215
51	1.50380456165648e-27	-26.822808602115
52	8.21936529116741e-22	-21.0851617178841
53	1.52364314793545e-22	-21.8171167370842
54	4.36544891208261e-27	-26.35997108987
55	1.9421344529044e-24	-23.7117207074181
56	6.41111725987869e-24	-23.1930662797607
57	7.99867192417649e-29	-28.0969821159933
58	2.64961468890193e-23	-22.576817277252
59	1.11696482159195e-27	-26.9519605046186
60	2.10078283853093e-22	-21.6776188390277
61	9.58839365076064e-24	-23.018254144346
62	7.47614031080478e-28	-27.126322556459
63	2.18483416420242e-23	-22.6605815217622
64	5.36285690141366e-28	-27.2706037912815
65	3.67522962568164e-24	-23.4347155213278
66	9.96852371713971e-25	-24.0013691535211
67	2.20077200367649e-24	-23.6574249473031
68	1.74302471487827e-28	-27.7586964548526
69	1.03853697291605e-25	-24.983578037552
70	3.77939715256662e-35	-34.4225774684679
71	2.34262329034494e-39	-38.6302975432758
72	1.31675029727509e-29	-28.8804965749223
73	8.4616839559774e-32	-31.0725431996072
74	1.58067412699042e-31	-30.8011576553286
75	8.66113950255003e-38	-37.0624249662836
76	4.71070977327769e-35	-34.3269136518107
77	9.66668940295671e-30	-29.0147222353483
78	1.3063670796654e-34	-33.8839347723159
79	3.20433296711778e-32	-31.4942623620421
80	8.6422873592871e-30	-29.0633712973308
81	2.75553975492009e-35	-34.5597933189089
82	2.11984093646768e-30	-29.6736967253949
83	3.21622690711054e-33	-32.4926533190561
84	1.10534692083912e-26	-25.9565013942324
85	1.09878868383831e-34	-33.9590858219234
86	2.51541522872932e-33	-32.5993903141225
87	1.1705174767098e-32	-31.9316220975744
88	6.513567125074e-39	-38.1861811069069
89	7.72378292363648e-33	-32.1121699405363
90	1.98946923852058e-37	-36.7012627715938
91	1.31655682766357e-28	-27.8805603903308
92	4.23928081565961e-38	-37.3727078142287
93	1.92111721087323e-34	-33.7164461372296
94	7.00720100418441e-36	-35.1544554244279
95	6.59760150984478e-38	-37.1806139190577
96	5.93156786427483e-31	-30.2268304963822
97	3.27234675280082e-37	-36.4851406827364
98	8.84421275613836e-32	-31.0533408185916
99	2.58301311037559e-40	-39.5878733895103
100	2.5947578485558e-32	-31.5859031657319
101	5.81396778739936e-37	-36.2355273787908
102	8.04506784270219e-38	-37.0944702892173
103	1.08913863273396e-34	-33.9629168368655
104	2.37088958956579e-41	-40.625088670298
105	7.22527109369783e-43	-42.141145853445
106	6.65619136695724e-38	-37.1767742004765
107	6.41398447917122e-45	-44.1928720953303
108	2.88006429702107e-42	-41.5405978165707
109	1.16376024121904e-43	-42.9341364841542
110	1.63961990626202e-43	-42.7852568176504
111	7.39832074720509e-42	-41.1308668441856
112	5.86762572179431e-53	-52.2315375962847
113	4.71242204064604e-40	-39.3267558214222
114	2.36342315622572e-38	-37.6264585136783
115	3.52395048754375e-42	-41.4529702021719
116	6.24104769421056e-39	-38.2047424985194
117	1.97761461309436e-43	-42.7038583374677
118	1.01387134732081e-38	-37.994017150223
119	4.51215666252051e-43	-42.3456158300161
120	7.85883400809601e-56	-55.1046418841659
121	1.50614678362771e-41	-40.8221327013006
122	1.26044460057185e-51	-50.8994762378056
123	5.43397478701166e-45	-44.2648823809875
124	1.27731401260637e-43	-42.8937023234274
125	2.37226756761893e-41	-40.6248363285511
126	1.96934164392568e-41	-40.7056789353596
127	4.3031510579921e-48	-47.3662134081585
128	2.83762588033054e-37	-36.5470448635714
129	1.45894334884358e-46	-45.8359615715488
130	1.6655236466134e-48	-47.7784491969441
131	7.41614531394126e-47	-46.1298217690976
132	2.39946605696478e-42	-41.6198853892519
133	1.66271905212601e-40	-39.7791811268593
134	1.73899453844204e-49	-48.7597017819583
135	3.09828336917132e-48	-47.5088788641625
136	4.42156206137366e-48	-47.3544242748164
137	3.48870944166312e-50	-49.4573351994074
138	2.350201622551e-40	-39.6288948782367
139	7.33858864089671e-42	-41.1343874556708
140	7.48100855114961e-50	-49.1260398488371
141	2.40188512495241e-45	-44.6194477674545
142	6.55051161906002e-44	-43.1837247786865
143	2.05881113053235e-51	-50.6863834924931
144	4.39187255900993e-48	-47.3573502704983
145	5.37172352029729e-46	-45.2698863483301
146	4.1637158525883e-43	-42.3805189160164
147	1.94300357264122e-43	-42.7115264008532
148	2.88315726167068e-40	-39.5401316683946
149	3.12859734832607e-44	-43.5046503271231
150	3.5276579796711e-51	-50.4525135280589
151	4.40921436665009e-53	-52.3556387861839
152	4.95863828244375e-48	-47.3046375710128
153	4.24522391544805e-51	-50.3720993978396
154	5.37315839610806e-47	-46.2697703566132
155	1.63763741590245e-44	-43.7857822476939
156	1.40844881555348e-39	-38.8512589310897
157	8.96662450208081e-37	-36.0473710169355
158	2.73327540868169e-50	-49.5633166059786
159	5.54060755840069e-46	-45.2564426098576
160	1.52656387132997e-54	-53.8162850201332
161	9.31807514008422e-41	-40.0306737917637
162	9.67472122410692e-43	-42.0143615402704
163	8.05210489448193e-51	-50.0940905762079
164	1.84109330179181e-47	-46.7349242020302
165	1.02151995080129e-48	-47.9907531469578
166	5.00547468440999e-49	-48.3005547307632
167	1.64175503499829e-42	-41.7846916431271
168	7.60733364438641e-49	-48.1187675359287
169	5.22957099044467e-41	-40.2815339371604
170	1.51402106492054e-44	-43.8198680823557
171	1.31609243528066e-43	-42.8807136071335
172	1.28359431361224e-51	-50.8915722155188
173	8.91789834754165e-50	-49.0497374823512
174	7.10257723974808e-47	-46.1485840346745
175	9.50072499731692e-45	-44.0222432525722
176	4.3004174835461e-43	-42.3664893811648
177	2.18597214207251e-46	-45.6603553769798
178	3.01059207711057e-46	-45.5213480856236
179	7.00905511438434e-50	-49.1543405250102
180	3.06073211729001e-44	-43.5141746792474
181	3.69604024742733e-52	-51.4322633082473
182	1.86653848044679e-48	-47.7289630522561
183	5.42929941769819e-41	-40.2652562069963
184	6.29211083073107e-42	-41.2012036362155
185	1.10004373721412e-52	-51.9585900471571
186	1.70500063806754e-47	-46.7682754541441
187	8.66714839022775e-41	-40.0621237678177
188	3.84645502830321e-35	-34.4149393408485
189	1.29094511248385e-46	-45.889092222375
190	5.23647262695548e-48	-47.2809611623475
191	2.11587150122293e-36	-35.67451071093
192	2.63847117092436e-37	-36.57864764675
193	6.86471868160628e-42	-41.163377255591
194	1.13375696048152e-40	-39.9454800336567
195	5.2184970679693e-46	-45.2824545562065
196	3.46002742845645e-42	-41.4609204584384
197	1.92431652929456e-41	-40.7157234896685
198	1.06091558791721e-43	-42.9743191695012
199	7.02558642111929e-38	-37.1533174196326
200	5.65151382279051e-39	-38.2478352058399
201	1.20312379756105e-40	-39.9196896828585
202	4.87511415492376e-47	-46.3120152104735
203	2.27802609659663e-32	-31.6424413050405
204	7.92371834928179e-40	-39.1010709699743
205	5.91074470095161e-33	-32.2283577984522
206	8.0241716474315e-41	-40.0955997897664
207	1.17468374777486e-36	-35.9300790398459
208	3.50954260867995e-35	-34.4547494805342
209	5.74877765487228e-32	-31.2404244882108
210	3.98630699562124e-35	-34.399429258227
211	5.99414486575282e-35	-34.2222727652881
212	3.03298464600342e-38	-37.5181297882297
213	4.72109768831529e-40	-39.325957013113
214	4.1712105326561e-27	-26.3797378895444
215	4.48012541611077e-38	-37.3487098282424
216	1.13831226497045e-28	-27.9437385847329
217	9.95799434841284e-32	-31.0018281245412
218	4.71842644023884e-38	-37.326202811167
219	1.3578242725203e-32	-31.8671564321269
220	1.40174239617123e-33	-32.8533317910774
221	2.96263519583625e-27	-26.5283218220904
222	8.49747898050459e-28	-27.0707099010211
223	1.05773729553345e-27	-26.9756221822698
224	2.39981594991183e-29	-28.6198220645395
225	1.68762141189882e-24	-23.7727249730919
226	1.68903531703183e-30	-29.7723612694156
227	1.6796140399355e-28	-27.7747905037406
228	1.55260553161737e-21	-20.808938870867
229	1.75211930168444e-22	-21.7564363260793
230	1.4778665402217e-25	-24.8303647834394
231	2.96502463082393e-27	-26.5279716945471
232	1.60990802425126e-28	-27.7931989349627
233	4.59079935925552e-42	-41.3381116876462
234	2.75157315217193e-30	-29.5604189367281
235	1.00432957560652e-25	-24.9981237479681
236	1.59176710432887e-23	-22.7981204747289
237	1.73995481788278e-22	-21.7594620290731
238	5.97895678634369e-24	-23.2233745854861
239	1.9432514119266e-28	-27.7114710080729
240	3.04051407498529e-23	-22.5170529818338
241	6.92022985025475e-27	-26.1598794805375
242	4.55670277181311e-20	-19.3413492989952
243	5.02472380371147e-25	-24.2988878053146
244	3.55583086268417e-21	-20.4490589049431
245	1.37246845447028e-21	-20.8624976288137
246	5.83556406385432e-19	-18.2339171588166
247	2.12382742626178e-21	-20.6728807751928
248	4.88923027725287e-25	-24.3107595074723
249	3.27096177805279e-16	-15.4853245306771
250	8.24287553425657e-17	-16.0839212578651
251	2.13353088731841e-17	-16.6709010654389
252	2.3355766147594e-17	-16.6316058818245
253	3.62161716055093e-21	-20.4410974606613
254	9.57178948302298e-19	-18.0190068616013
255	1.07393782297846e-21	-20.9690208619503
256	2.02980716422209e-21	-20.6925452189795
257	7.64035016364272e-17	-16.1168867368886
258	3.94929540734226e-21	-20.4034803798162
259	4.46025914210718e-19	-18.3506399079431
260	1.3471214029477e-14	-13.8705932637763
261	3.5699301564818e-23	-22.4473402805128
262	5.45917317883829e-17	-16.2628731285515
263	4.406454840117e-15	-14.3559106764186
264	5.25933984162211e-15	-14.2790687655675
265	2.48604941824674e-16	-15.6044902426057
266	4.15725635154105e-13	-12.3811931944914
267	9.58463184328610e-11	-10.0184245642152
268	6.18202255224137e-15	-14.2088694149479
269	1.45926722197512e-11	-10.8358651725324
270	4.71253840955019e-17	-16.326745097054
271	2.65454840469867e-14	-13.576009351053
272	2.81735339597796e-10	-9.55015867367558
273	8.98109222470056e-12	-11.0466708439211
274	2.22435118818488e-08	-7.65279664377611
275	9.67687357153289e-13	-12.0142649329754
276	4.00581643774397e-09	-8.39730895566685
277	1.66824372267327e-09	-8.77774050065282
278	3.55210527188659e-10	-9.44951417174424
279	6.96290592359128e-07	-6.15720947257412
280	1.0534742114429e-07	-6.97737609125202
281	2.40109157962903e-06	-5.61959127527448
282	4.32182692227385e-10	-9.36433262944873
283	1.74432322731583e-07	-6.75837303612772
284	3.8440451995369e-05	-4.41521151439734
285	0.000452277918063255	-3.34459461565312
286	8.08893968171299e-05	-4.09210840305533
287	3.69259059284933e-05	-4.43266884104189
288	1.53772884708693e-05	-4.81312023839403
289	8.37779836012347e-07	-6.07687009660544
290	3.78716556498688e-05	-4.42168570824372
291	6.33937744829579e-07	-6.197953389444
292	0.00160653087085825	-2.79411092469412
293	0.00231967612204831	-2.63457264796526
294	0.0345443283896717	-1.46162324644499
295	0.00122990699728535	-2.91012772766049
296	0.00650985970284457	-2.18642837102274
297	0.0144880011158396	-1.83899152924542
